Name,Clone URL,Description,Updated At
leetcode,https://github.com/Lakhwinderr/leetcode.git,,2024-05-25T16:57:27Z
little-lemon,https://github.com/Lakhwinderr/little-lemon.git,Frontend Capstone Project,2025-02-28T20:44:57Z
Lucky-Shrubs-Portfolio-Project,https://github.com/Lakhwinderr/Lucky-Shrubs-Portfolio-Project.git,This is a garden startup website.,2023-04-08T02:40:48Z
m3l2_forking_lab,https://github.com/Lakhwinderr/m3l2_forking_lab.git,,2022-12-03T19:20:51Z
m4l1_managing_a_project,https://github.com/Lakhwinderr/m4l1_managing_a_project.git,,2022-11-28T18:00:15Z
Marmeto,https://github.com/Lakhwinderr/Marmeto.git,Simple Clothing Landing page,2025-02-28T21:10:29Z
META-Backend-Complete-Specialization,https://github.com/Lakhwinderr/META-Backend-Complete-Specialization.git,Notes and Code from the META Backend Complete Specialization.,2023-09-25T17:41:38Z
NEETCODE,https://github.com/Lakhwinderr/NEETCODE.git,Learning material for topics to solve DSA questions.,2024-07-26T15:22:35Z
NextJs,https://github.com/Lakhwinderr/NextJs.git,getting hands dirty with nextjs,2023-09-02T20:01:24Z
Open-Source-Discovery,https://github.com/Lakhwinderr/Open-Source-Discovery.git,"Open Source Discovery project to help  helps beginners discover OS projects based on seversal queries such as labels, stars, forks, etc.",2024-11-19T05:36:58Z
Oracle-Challenges-GHW-Open-Source-2024-Challenges,https://github.com/Lakhwinderr/Oracle-Challenges-GHW-Open-Source-2024-Challenges.git,Oracle Challenges GHW: Open Source 2024 Challenges,2024-10-10T17:59:06Z
pepcodingCodes,https://github.com/Lakhwinderr/pepcodingCodes.git,,2025-06-20T16:24:34Z
PlaylistAdda,https://github.com/Lakhwinderr/PlaylistAdda.git,A fun project for friends through which anyone can share their music playlists.,2022-10-19T05:27:18Z
Portfolio,https://github.com/Lakhwinderr/Portfolio.git,,2023-07-02T00:34:19Z
Portfolio-Updated,https://github.com/Lakhwinderr/Portfolio-Updated.git,,2023-11-24T12:59:43Z
Programmable_Wallet,https://github.com/Lakhwinderr/Programmable_Wallet.git,,2024-03-03T19:08:15Z
random-website,https://github.com/Lakhwinderr/random-website.git,get back focus,2022-10-30T22:20:56Z
React-Basics,https://github.com/Lakhwinderr/React-Basics.git,react basics from next.js,2025-04-25T18:07:36Z
ReactTailwindBoilerplate,https://github.com/Lakhwinderr/ReactTailwindBoilerplate.git,,2024-04-22T16:36:48Z
Real-Time-Data-React-App,https://github.com/Lakhwinderr/Real-Time-Data-React-App.git,GHW August Data: Realtime Data App,2023-08-05T01:52:08Z
rebus,https://github.com/Lakhwinderr/rebus.git,🌟 👣 Take your first steps as an open source contributor,2022-10-05T14:01:15Z
SnakeGame,https://github.com/Lakhwinderr/SnakeGame.git,,2023-02-13T07:07:00Z
SnakeGame2,https://github.com/Lakhwinderr/SnakeGame2.git,My very own first snake game.,2023-02-14T13:42:50Z
team-lakshya,https://github.com/Lakhwinderr/team-lakshya.git,Grammerhub | Team LAKSHYA,2024-06-04T10:36:40Z
TinyMCE-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/TinyMCE-Challenges-GHW-Open-Source-2024.git,TinyMCE Challenges | GHW: Open Source 2024,2024-10-11T11:38:04Z
Traversy-JS-Challenges,https://github.com/Lakhwinderr/Traversy-JS-Challenges.git,,2024-02-21T09:20:48Z
trial,https://github.com/Lakhwinderr/trial.git,,2022-02-01T05:55:10Z
weather-app,https://github.com/Lakhwinderr/weather-app.git,Weather app with JavaScript and api,2022-10-06T03:03:32Z
Website-pep,https://github.com/Lakhwinderr/Website-pep.git,,2022-01-13T18:56:05Z
yup,https://github.com/Lakhwinderr/yup.git,Dead simple Object schema validation,2023-03-06T17:52:32Z
